what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899359301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899359445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899598557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899710406
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1453899731947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899733955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899738823
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1453899780236
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1453899780424
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1453899780428
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1453899780428
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1453899781824
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1453899781848
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1453899782144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899785805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899786781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899786797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453899788597
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1453900110532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453900112733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453900114913
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1453900123421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1453900123445
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1453900342276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453900546647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453900564453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453900566325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453902082319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453902082741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453902082756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453902082803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453902085663
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1453902097854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1453902104292
