what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1452949860226
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1452949860227
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1452949860229
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1452949860230
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1452949860230
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1452949860230
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1452949860231
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1452949860232
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1452949860233
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1452949860234
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1452949860235
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1452949860244
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1452949860245
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1452949860246
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1452949860247
os,sysinfo,,,"win32",1452949860250
arch,sysinfo,,,"x86",1452949860250
ws,sysinfo,,,"win32",1452949860250
locale,sysinfo,,,"en_US",1452949860250
processors,sysinfo,,,"4",1452949860250
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452949860250
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1452949860250
java.specification.name,sysinfo,,,"Java Platform API Specification",1452949860250
java.specification.vendor,sysinfo,,,"Oracle Corporation",1452949860250
java.specification.version,sysinfo,,,"1.7",1452949860250
java.vendor,sysinfo,,,"Oracle Corporation",1452949860250
java.version,sysinfo,,,"1.7.0_75",1452949860250
java.vm.info,sysinfo,,,"mixed mode, sharing",1452949860250
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1452949860250
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452949860250
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1452949860250
java.vm.specification.version,sysinfo,,,"1.7",1452949860250
java.vm.vendor,sysinfo,,,"Oracle Corporation",1452949860250
java.vm.version,sysinfo,,,"24.75-b04",1452949860250
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1452949862752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949870071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949881892
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1452949885205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949890073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949898122
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1452949898305
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1452949898359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1452949906033
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1452949907042
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452949934916
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452949938667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949940972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949941877
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452949947707
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1452949951355
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1452949951392
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1452949951435
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1452949951454
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452949952619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949954323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949955063
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452949961932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949964603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949965437
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1452949968193
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452949969339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949970768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949971548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949975996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949977409
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1452949977490
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1452949977498
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1452949980001
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1452949980099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949983302
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1452949984946
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1452949984964
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1452949984975
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1452949984979
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1452949984998
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1452949985003
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1452949985197
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1452949985209
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1452949985226
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1452949985239
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1452949985248
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1452949985271
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1452949985358
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1452949985360
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1452949985461
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1452949985694
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1452949985770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949986272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1452949986285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949991029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949996363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452949997593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452950208743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452950211895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452950213216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452950214410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452950215994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951709600
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1452951711607
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1452951711639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951713138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951720286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1452951728495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1452951742672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1452951745272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951770994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951791223
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1452951838659
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1452951838735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951842144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1452951848671
