what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454593620788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593622428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593721247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593729753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593883443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593884741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593889827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454593896642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454594480208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454594486513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454594508660
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1454594508670
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454594518328
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454594518353
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454594520833
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454594551975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454594553234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454594555280
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454594555470
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1454594555950
