what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128719935
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1454128720042
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1454128721092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1454128742551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128795709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128795860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128797958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128798809
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1454128799196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454128831073
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1454128831386
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1454128831431
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1454128831568
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1454128831602
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1454128831678
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1454128831682
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1454128844639
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454128904061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128956968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454128962451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129036702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129091254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454129102819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454129115243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129138184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129140751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454129146418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129164700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129183347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129192846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129327804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129330815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129333111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129333844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129335090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129337325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129339805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129342699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129366124
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454129366263
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454129366286
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1454129378208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1454129381351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454129436278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129439455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129445745
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454129449722
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454129462839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129468381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129475688
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454129484102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129489807
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1454129554314
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1454129554314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129568191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129594332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454129604879
