what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1454590026267
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1454590026267
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1454590026267
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1454590026272
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1454590026272
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1454590026272
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1454590026272
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1454590026272
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1454590026277
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1454590026277
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1454590026277
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1454590026277
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1454590026277
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1454590026277
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1454590026282
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1454590026282
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1454590026282
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1454590026282
os,sysinfo,,,"win32",1454590026287
arch,sysinfo,,,"x86",1454590026287
ws,sysinfo,,,"win32",1454590026287
locale,sysinfo,,,"en_US",1454590026287
processors,sysinfo,,,"4",1454590026287
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454590026287
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1454590026287
java.specification.name,sysinfo,,,"Java Platform API Specification",1454590026287
java.specification.vendor,sysinfo,,,"Oracle Corporation",1454590026287
java.specification.version,sysinfo,,,"1.7",1454590026287
java.vendor,sysinfo,,,"Oracle Corporation",1454590026287
java.version,sysinfo,,,"1.7.0_75",1454590026287
java.vm.info,sysinfo,,,"mixed mode, sharing",1454590026287
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1454590026287
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454590026287
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1454590026287
java.vm.specification.version,sysinfo,,,"1.7",1454590026287
java.vm.vendor,sysinfo,,,"Oracle Corporation",1454590026287
java.vm.version,sysinfo,,,"24.75-b04",1454590026287
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1454590031247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590039439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590040739
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1454590045767
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1454590045772
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1454590045797
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1454590045802
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1454590045822
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1454590045837
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1454590045852
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1454590045852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590046345
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1454590060705
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1454590060710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590097010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590101066
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1454590277407
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1454590279953
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1454590279963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590475129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590479503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590557284
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1454590557314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590557614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590689716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590693707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590817600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590836122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590836607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590840227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590898048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454590903274
