what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1454902644332
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1454902644333
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1454902644347
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1454902644381
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1454902644382
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1454902644382
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1454902644415
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1454902644453
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1454902644490
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1454902644490
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1454902644491
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1454902644492
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1454902644508
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1454902644525
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1454902644551
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1454902644552
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1454902644553
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1454902644554
os,sysinfo,,,"win32",1454902644556
arch,sysinfo,,,"x86",1454902644556
ws,sysinfo,,,"win32",1454902644556
locale,sysinfo,,,"en_US",1454902644556
processors,sysinfo,,,"4",1454902644556
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454902644556
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1454902644556
java.specification.name,sysinfo,,,"Java Platform API Specification",1454902644556
java.specification.vendor,sysinfo,,,"Oracle Corporation",1454902644556
java.specification.version,sysinfo,,,"1.7",1454902644556
java.vendor,sysinfo,,,"Oracle Corporation",1454902644556
java.version,sysinfo,,,"1.7.0_75",1454902644556
java.vm.info,sysinfo,,,"mixed mode, sharing",1454902644556
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1454902644556
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454902644556
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1454902644556
java.vm.specification.version,sysinfo,,,"1.7",1454902644556
java.vm.vendor,sysinfo,,,"Oracle Corporation",1454902644556
java.vm.version,sysinfo,,,"24.75-b04",1454902644556
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454902644660
